time,average_daily_calls
1962-01-01,350
1962-02-01,339
1962-03-01,351
1962-04-01,364
1962-05-01,369
1962-06-01,331
1962-07-01,331
1962-08-01,340
1962-09-01,346
1962-10-01,341
1962-11-01,357
1962-12-01,398
1963-01-01,381
1963-02-01,367
1963-03-01,383
1963-04-01,375
1963-05-01,353
1963-06-01,361
1963-07-01,375
1963-08-01,371
1963-09-01,373
1963-10-01,366
1963-11-01,382
1963-12-01,429
1964-01-01,406
1964-02-01,403
1964-03-01,429
1964-04-01,425
1964-05-01,427
1964-06-01,409
1964-07-01,402
1964-08-01,409
1964-09-01,419
1964-10-01,404
1964-11-01,429
1964-12-01,463
1965-01-01,428
1965-02-01,449
1965-03-01,444
1965-04-01,467
1965-05-01,474
1965-06-01,463
1965-07-01,432
1965-08-01,453
1965-09-01,462
1965-10-01,456
1965-11-01,474
1965-12-01,514
1966-01-01,489
1966-02-01,475
1966-03-01,492
1966-04-01,525
1966-05-01,527
1966-06-01,533
1966-07-01,527
1966-08-01,522
1966-09-01,526
1966-10-01,513
1966-11-01,564
1966-12-01,599
1967-01-01,572
1967-02-01,587
1967-03-01,599
1967-04-01,601
1967-05-01,611
1967-06-01,620
1967-07-01,579
1967-08-01,582
1967-09-01,592
1967-10-01,581
1967-11-01,630
1967-12-01,663
1968-01-01,638
1968-02-01,631
1968-03-01,645
1968-04-01,682
1968-05-01,601
1968-06-01,595
1968-07-01,521
1968-08-01,521
1968-09-01,516
1968-10-01,496
1968-11-01,538
1968-12-01,575
1969-01-01,537
1969-02-01,534
1969-03-01,542
1969-04-01,538
1969-05-01,547
1969-06-01,540
1969-07-01,526
1969-08-01,548
1969-09-01,555
1969-10-01,545
1969-11-01,594
1969-12-01,643
1970-01-01,625
1970-02-01,616
1970-03-01,640
1970-04-01,625
1970-05-01,637
1970-06-01,634
1970-07-01,621
1970-08-01,641
1970-09-01,654
1970-10-01,649
1970-11-01,662
1970-12-01,699
1971-01-01,672
1971-02-01,704
1971-03-01,700
1971-04-01,711
1971-05-01,715
1971-06-01,718
1971-07-01,652
1971-08-01,664
1971-09-01,695
1971-10-01,704
1971-11-01,733
1971-12-01,772
1972-01-01,716
1972-02-01,712
1972-03-01,732
1972-04-01,755
1972-05-01,761
1972-06-01,748
1972-07-01,748
1972-08-01,750
1972-09-01,744
1972-10-01,731
1972-11-01,782
1972-12-01,810
1973-01-01,777
1973-02-01,816
1973-03-01,840
1973-04-01,868
1973-05-01,872
1973-06-01,811
1973-07-01,810
1973-08-01,762
1973-09-01,634
1973-10-01,626
1973-11-01,649
1973-12-01,697
1974-01-01,657
1974-02-01,549
1974-03-01,162
1974-04-01,177
1974-05-01,175
1974-06-01,162
1974-07-01,161
1974-08-01,165
1974-09-01,170
1974-10-01,172
1974-11-01,178
1974-12-01,186
1975-01-01,178
1975-02-01,178
1975-03-01,189
1975-04-01,205
1975-05-01,202
1975-06-01,185
1975-07-01,193
1975-08-01,200
1975-09-01,196
1975-10-01,204
1975-11-01,206
1975-12-01,227
1976-01-01,225
1976-02-01,217
1976-03-01,219
1976-04-01,236
1976-05-01,253
1976-06-01,213
1976-07-01,205
1976-08-01,210
1976-09-01,216
1976-10-01,218
1976-11-01,235
1976-12-01,241
